index,code,name,longitude,latitude,alert_area
93,PZGLI,Pizzeglio,7.694540000000001,43.91862,alert_area_a
94,RAPAL,Rapallo,9.20928,44.35453,alert_area_c
95,REPPI,Reppia,9.45774,44.374880000000005,alert_area_c
96,RICCO,Ricco' del Golfo,9.763729999999999,44.15319,alert_area_c
97,RIGHI,Genova - Castellaccio,8.93433,44.42797,alert_area_b
98,ROCNE,Rocchetta Nervina,7.60177,43.88859,alert_area_a
99,SALBE,Bargagli,9.10735,44.43845,alert_area_b
100,SANDA,Sanda,8.5273,44.36189,alert_area_b
101,SANTU,Santuario di Savona,8.437529999999999,44.345549999999996,alert_area_b
102,SCIAR,Sciarborasca,8.62464,44.40645,alert_area_b
103,SCURT,Scurtabo',9.53384,44.40681,alert_area_c
104,SEBOR,Seborga,7.6985,43.82756,alert_area_a
105,SEGIA,Sella Giassina,9.18206,44.48758,alert_area_c
106,SEGOD,Sesta Godano,9.67751,44.29848,alert_area_c
107,SMVAR,S. Margherita Vara,9.65964,44.2747,alert_area_c
108,SPZIA,La Spezia,9.82819,44.107029999999995,alert_area_c
109,SRZAN,Sarzana,9.96546,44.11227,alert_area_c
110,SSGIU,Stella S. Giustina,8.48252,44.415820000000004,alert_area_b
111,STALE,Statale,9.48082,44.35048,alert_area_c
112,SZIGN,Sero' di Zignago,9.736979999999999,44.26434,alert_area_c
113,TAVRN,Tavarone,9.54859,44.312740000000005,alert_area_c
114,TESTI,Testico,8.035169999999999,44.00653,alert_area_a
115,TOGAR,Torriglia - Garaventa,9.174949999999999,44.529309999999995,alert_area_e
116,TRIOR,Triora,7.7624200000000005,43.994510000000005,alert_area_a
117,URVAS,Urbe - Vara Sup.,8.62739,44.46953,alert_area_d
118,VALIG,Varese Ligure,9.5842,44.38313,alert_area_c
119,VALZE,Valzemola,8.19105,44.36959,alert_area_d
120,VBGOR,Valbrevenna - Gorra,9.02329,44.531760000000006,alert_area_e
121,VERDE,Verdeggia,7.721080000000001,44.04425,alert_area_a
122,VERZI,Verzi Loano,8.22002,44.16397,alert_area_a
123,VICOM,Vicomorasso,8.978489999999999,44.48555,alert_area_b
124,VIGAN,Viganego,9.06348,44.42846,alert_area_b
125,VREGI,Valleregia,8.94744,44.52038,alert_area_b
126,XXMIG,Ventimiglia,7.6121099999999995,43.78777,alert_area_a
